Scenario,datetime,WS,WD,TMP,RH
ERA,27-01-2021 14:00,85.389,115.86,20.436,41.722
ERA,27-01-2021 15:00,89.708,112.31,20.824,39.302
ERA,27-01-2021 16:00,75.434,112.46,20.887,37.93
ERA,27-01-2021 17:00,77.556,113.55,20.825,37.807
ERA,27-01-2021 18:00,7.839,103.57,20.211,40.213
ERA,27-01-2021 19:00,67.187,91.915,19.089,45.616
ERA,27-01-2021 20:00,52.168,86.155,17.688,51.684
ERA,27-01-2021 21:00,32.434,87.593,16.255,57.737
ERA,27-01-2021 22:00,1.418,77.617,15.284,61.075
ERA,27-01-2021 23:00,1.096,355.43,14.87,62.205
ERA,28-01-2021 0:00,18.621,297.64,14.005,66.948
ERA,28-01-2021 1:00,22.258,283.97,13.852,65.766
ERA,28-01-2021 2:00,21.133,278.13,13.678,65.542
ERA,28-01-2021 3:00,20.507,277.85,13.358,65.951
ERA,28-01-2021 4:00,3.008,277.73,12.788,68.546
ERA,28-01-2021 5:00,24.677,274.56,12.75,67.56
ERA,28-01-2021 6:00,20.214,277.45,12.685,66.969
ERA,28-01-2021 7:00,26.122,256.97,12.405,67.123
ERA,28-01-2021 8:00,14.291,261.38,12.516,66.764
ERA,28-01-2021 9:00,18.317,141.34,14.126,62.976
ERA,28-01-2021 10:00,43.912,127.79,16.306,49.089
ERA,28-01-2021 11:00,65.858,117.04,17.723,45.059
ERA,28-01-2021 12:00,81.082,113.62,18.429,43.308
ERA,28-01-2021 13:00,83.885,114.62,18.015,45.307
ERA,28-01-2021 14:00,85.594,120.51,18.083,45.24
ERA,28-01-2021 15:00,93.094,121.79,18.495,42.718
ERA,28-01-2021 16:00,75.665,115.72,17.669,45.872
ERA,28-01-2021 17:00,6.84,115.8,16.6,49.994
ERA,28-01-2021 18:00,55.162,116.3,15.631,54.446
ERA,28-01-2021 19:00,47.139,108.62,15.048,57.5
ERA,28-01-2021 20:00,36.765,93.874,13.827,70.74
ERA,28-01-2021 21:00,17.453,138.75,13.016,74.061
ERA,28-01-2021 22:00,11.878,187.28,12.838,75.06
ERA,28-01-2021 23:00,20.306,207.9,12.491,77.306
ERA,29-01-2021 0:00,1.913,205.15,12.636,73.233
ERA,29-01-2021 1:00,22.458,178.21,12.548,72.656
ERA,29-01-2021 2:00,2.468,152.6,12.17,77.056
ERA,29-01-2021 3:00,19.386,140.59,11.872,77.676
ERA,29-01-2021 4:00,29.037,142.27,11.013,89.05
ERA,29-01-2021 5:00,2.838,160.18,10.601,89.353
ERA,29-01-2021 6:00,38.231,190.19,10.517,91.375
ERA,29-01-2021 7:00,35.457,177.72,10.496,91.6
ERA,29-01-2021 8:00,35.287,163.56,10.665,91.399
ERA,29-01-2021 9:00,39.404,193.31,11.178,90.827
ERA,29-01-2021 10:00,42.028,198.27,11.216,84.17
ERA,29-01-2021 11:00,44.864,198.77,11.28,90.743
ERA,29-01-2021 12:00,45.482,203.42,10.918,90.486
ERA,29-01-2021 13:00,53.281,204.01,12.05,81.885
ERA,29-01-2021 14:00,5.847,175.67,12.303,76.586
ERA,29-01-2021 15:00,49.152,173.06,12.018,88.433
ERA,29-01-2021 16:00,53.298,152.23,13.452,84.38
ERA,29-01-2021 17:00,44.597,159.24,13.108,98.143
ERA,29-01-2021 18:00,45.297,149.47,12.467,98.538
ERA,29-01-2021 19:00,36.508,158.94,11.914,98.963
ERA,29-01-2021 20:00,40.471,181.28,11.388,99.472
ERA,29-01-2021 21:00,5.069,187.8,10.915,98.759
ERA,29-01-2021 22:00,45.427,190.07,10.611,97.972
ERA,29-01-2021 23:00,46.524,198.32,10.415,97.049
ERA,30-01-2021 0:00,53.926,202.38,10.294,95.059
ERA,30-01-2021 1:00,48.499,205.9,10.057,92.719
ERA,30-01-2021 2:00,43.945,191.73,98.913,92.719
ERA,30-01-2021 3:00,32.095,201.57,96.282,93.917
ERA,30-01-2021 4:00,28.194,211.77,95.188,90.924
ERA,30-01-2021 5:00,17.577,214.3,90.566,92.987
ERA,30-01-2021 6:00,20.614,205.87,91.259,92.996
ERA,30-01-2021 7:00,29.958,214.63,88.243,95
ERA,30-01-2021 8:00,25.831,230.48,85.583,94.012
ERA,30-01-2021 9:00,24.203,209.1,10.956,88.255
ERA,30-01-2021 10:00,30.287,162.67,11.459,83.799
ERA,30-01-2021 11:00,43.362,147.27,12.941,81.83
ERA,30-01-2021 12:00,61.972,141.92,13.907,83.119
ERA,30-01-2021 13:00,67.745,126.11,14.787,86.196
ERA,30-01-2021 14:00,63.141,133.31,14.703,91.681
ERA,30-01-2021 15:00,49.708,132.85,15.201,91.582
ERA,30-01-2021 16:00,5.748,127.76,14.898,77.099
ERA,30-01-2021 17:00,3.082,140.59,13.652,91.614
ERA,30-01-2021 18:00,46.578,143.78,13.338,93.191
ERA,30-01-2021 19:00,27.101,180.77,12.627,94.408
ERA,30-01-2021 20:00,3.37,200.13,11.817,93.787
ERA,30-01-2021 21:00,3.161,178.15,11.368,94.301
ERA,30-01-2021 22:00,29.541,202.66,10.83,94.098
ERA,30-01-2021 23:00,23.764,210.69,9.836,95.737
ERA,31-01-2021 0:00,27.191,213,96.264,94.262
ERA,31-01-2021 1:00,23.317,223.41,8.999,94.203
ERA,31-01-2021 2:00,23.781,218.68,88.377,93.794
ERA,31-01-2021 3:00,23.698,262.59,85.717,91.891
ERA,31-01-2021 4:00,28.385,250.5,87.673,85.014
ERA,31-01-2021 5:00,18.543,237.82,91.864,78.567
ERA,31-01-2021 6:00,17.353,236.76,89.536,79.211
ERA,31-01-2021 7:00,20.406,253.93,89.076,81.509
ERA,31-01-2021 8:00,13.128,249.4,93.761,74.467
ERA,31-01-2021 9:00,13.226,234.91,10.115,85.719
ERA,31-01-2021 10:00,31.843,138.32,11.293,75.175
ERA,31-01-2021 11:00,46.042,145.15,12.267,72.484
ERA,31-01-2021 12:00,55.936,148.45,13.139,72.248
ERA,31-01-2021 13:00,67.891,144.81,14.324,75.352
ERA,31-01-2021 14:00,84.012,135.53,15.121,79.123
ERA,31-01-2021 15:00,73.624,138.99,14.377,88.235
ERA,31-01-2021 16:00,71.048,133.82,15.267,76.267
ERA,31-01-2021 17:00,70.357,136.82,13.394,79.422
ERA,31-01-2021 18:00,5.135,131.37,12.598,78.879
ERA,31-01-2021 19:00,27.454,176.98,10.426,82.041
ERA,31-01-2021 20:00,30.431,262.74,10.337,84.967
ERA,31-01-2021 21:00,27.375,181.96,10.352,81.472
ERA,31-01-2021 22:00,11.491,180.39,96.947,85.959
ERA,31-01-2021 23:00,27.794,269.22,92.823,86.113
ERA,01-02-2021 0:00,25.156,263.73,94.581,79.434
ERA,01-02-2021 1:00,33.919,274.38,86.565,79.494
ERA,01-02-2021 2:00,38.389,274.66,80.887,77.819
ERA,01-02-2021 3:00,43.147,275.3,71.735,77.144
ERA,01-02-2021 4:00,43.619,273.28,7.674,65.843
ERA,01-02-2021 5:00,45.088,276.34,72.013,64.236
ERA,01-02-2021 6:00,49.511,276.94,60.286,66.099
ERA,01-02-2021 7:00,49.705,280.08,55.112,67.498
ERA,01-02-2021 8:00,49.253,282.04,56.423,75.331
ERA,01-02-2021 9:00,3.049,287.08,9.454,80.155
ERA,01-02-2021 10:00,92.285,213.75,11.653,58.659
ERA,01-02-2021 11:00,36.892,122.55,13.303,54.379
ERA,01-02-2021 12:00,51.098,128.33,14.24,57.045
ERA,01-02-2021 13:00,65.234,128.51,15.109,60.098
ERA,01-02-2021 14:00,67.132,125.07,15.234,69.671
ERA,01-02-2021 15:00,55.731,112.54,15.028,76.725
ERA,01-02-2021 16:00,58.195,111.3,14.824,90.186
ERA,01-02-2021 17:00,40.849,131.56,14.585,91.38
ERA,01-02-2021 18:00,4.56,148.37,13.709,83.482
ERA,01-02-2021 19:00,38.923,138.5,12.124,81.131
ERA,01-02-2021 20:00,49.455,247.33,99.563,87.42
